name,Longitude,Latitude
Mauritania,-10.34779815,20.25736706
Montserrat,-62.18518546,16.73941406
Mauritius,57.57120551,-20.27768704
Malawi,34.28935599,-13.21808088
Malaysia,109.6976228,3.78986846
Namibia,17.20963567,-22.13032568
New Caledonia,165.6849237,-21.29991806
Niger,9.38545882,17.41912493
Norfolk Island,167.9492168,-29.0514609
Nigeria,8.08943895,9.59411452
Nicaragua,-85.0305297,12.84709429
Niue,-169.8699468,-19.04945708
Netherlands,5.28144793,52.1007899
Norway,15.34834656,68.75015572
Nepal,83.9158264,28.24891365
Nauru,166.9325682,-0.51912639
New Zealand,171.4849235,-41.81113557
Oman,56.09166155,20.60515333
Pakistan,69.33957937,29.9497515
Panama,-80.11915156,8.51750797
Pitcairn Is.,-128.317042,-24.36500535
Peru,-74.38242685,-9.15280381
Philippines,122.8839325,11.77536778
Palau,134.4080797,7.28742784
Papua New Guinea,145.2074475,-6.46416646
Poland,19.39012835,52.12759564
Puerto Rico,-66.47307604,18.22813055
Dem. Rep. Korea,127.1924797,40.15350311
Portugal,-8.50104361,39.59550671
Paraguay,-58.40013703,-23.22823913
Palestine,35.19628705,31.91613893
Fr. Polynesia,-144.9049439,-14.72227409
Qatar,51.18479632,25.30601188
Romania,24.97293039,45.85243127
Russia,96.68656112,61.98052209
Rwanda,29.91988515,-1.99033832
W. Sahara,-12.21982755,24.22956739
Saudi Arabia,44.53686271,24.12245841
Sudan,29.94046812,15.99035669
S. Sudan,30.24790002,7.30877945
Senegal,-14.4734924,14.36624173
Singapore,103.8172559,1.35876087
S. Geo. and S. Sandw. Is.,-36.43318388,-54.46488248
Saint Helena,-9.54779416,-12.40355951
Solomon Is.,159.6328767,-8.92178022
Sierra Leone,-11.79271247,8.56329593
El Salvador,-88.87164469,13.73943744
San Marino,12.45922334,43.94186747
Somaliland,46.25198395,9.73345496
Somalia,45.70714487,4.75062876
St. Pierre and Miquelon,-56.30319779,46.91918789
Serbia,20.78958334,44.2215032
S????o Tom???? and Principe,6.72429658,0.44391445
Suriname,-55.9123457,4.13055413
Slovakia,19.47905218,48.70547528
Slovenia,14.80444238,46.11554772
Sweden,16.74558049,62.77966519
Swaziland,31.4819369,-26.55843045
Sint Maarten,-63.05713363,18.05081728
Seychelles,55.47603279,-4.66099094
Syria,38.50788204,35.02547389
Turks and Caicos Is.,-71.97387881,21.83047572
Chad,18.64492513,15.33333758
Togo,0.96232845,8.52531356
Thailand,101.0028813,15.11815794
Tajikistan,71.01362631,38.5304539
Turkmenistan,59.37100021,39.11554137
Timor-Leste,125.8443898,-8.82889162
Tonga,-174.8098734,-20.42843174
Trinidad and Tobago,-61.26567923,10.45733408
Tunisia,9.55288359,34.11956246
Turkey,35.16895346,39.0616029
Taiwan,120.9542728,23.7539928
Tanzania,34.81309981,-6.27565408
Uganda,32.36907971,1.27469299
Ukraine,31.38326469,48.99656673
Uruguay,-56.01807053,-32.79951534
United States,-112.4616737,45.6795472
Uzbekistan,63.14001528,41.75554225
Vatican,12.43387177,41.90174985
St. Vin. and Gren.,-61.20129695,13.22472269
Venezuela,-66.18184123,7.12422421
British Virgin Is.,-64.47146992,18.52585755
U.S. Virgin Is.,-64.80301538,17.95500624
Vietnam,106.299147,16.6460167
Vanuatu,167.6864464,-16.22640909
Wallis and Futuna Is.,-177.3483483,-13.88737039
Samoa,-172.1648506,-13.75324346
Yemen,47.58676189,15.90928005
South Africa,25.08390093,-29.00034095
Zambia,27.77475946,-13.45824152
Zimbabwe,29.8514412,-19.00420419
